Name,Tags
caret-line-down,"carets, arrow, arrows, point, points, pointer, indicate, indicator, direction, directions, control, controls, expand, collapse, open, close, section, accordion, down"
caret-line-left,"carets, arrow, arrows, point, points, pointer, indicate, indicator, direction, directions, control, controls, expand, collapse, open, close, section, accordion, left"
caret-line-right,"carets, arrow, arrows, point, points, pointer, indicate, indicator, direction, directions, control, controls, expand, collapse, open, close, section, accordion, right"
caret-line-two-down,"carets, arrow, arrows, point, points, pointer, indicate, indicator, direction, directions, control, controls, expand, collapse, open, close, section, accordion, down"
caret-line-two-left,"carets, arrow, arrows, point, points, pointer, indicate, indicator, direction, directions, control, controls, expand, collapse, open, close, section, accordion, left"
caret-line-two-right,"carets, arrow, arrows, point, points, pointer, indicate, indicator, direction, directions, control, controls, expand, collapse, open, close, section, accordion, right"
caret-line-two-up,"carets, arrow, arrows, point, points, pointer, indicate, indicator, direction, directions, control, controls, expand, collapse, open, close, section, accordion, up"
caret-line-up,"carets, arrow, arrows, point, points, pointer, indicate, indicator, direction, directions, control, controls, expand, collapse, open, close, section, accordion, up"
caret-right,"carets, arrow, arrows, point, points, pointer, indicate, indicator, direction, directions, control, controls, expand, collapse, open, close, section, accordion, right"
caret-two-down,"carets, arrow, arrows, point, points, pointer, indicate, indicator, direction, directions, control, controls, expand, collapse, open, close, section, accordion, down"
caret-two-left,"carets, arrow, arrows, point, points, pointer, indicate, indicator, direction, directions, control, controls, expand, collapse, open, close, section, accordion, left"
caret-two-right,"carets, arrow, arrows, point, points, pointer, indicate, indicator, direction, directions, control, controls, expand, collapse, open, close, section, accordion, right"
caret-two-up,"carets, arrow, arrows, point, points, pointer, indicate, indicator, direction, directions, control, controls, expand, collapse, open, close, section, accordion, up"
caret-up,"carets, arrow, arrows, point, points, pointer, indicate, indicator, direction, directions, control, controls, expand, collapse, open, close, section, accordion, up"
carousel-next,"photo, photos, image, images, slider, slideshow, gallery, header, advance, forward, website, next"
carousel-pause,"photo, photos, image, images, slider, slideshow, gallery, header, halt, stop, website, pause"
carousel-play,"photo, photos, image, images, slider, slideshow, gallery, header, advance, forward, website, play"
carousel-prev,"photo, photos, image, images, slider, slideshow, gallery, header, advance, back, backward, website, previous"
cart-delivered,"deliver, delivery, shop, shopping, store, online, check, checkmark, checkout, transaction, complete, completed, purchase, purchasing, goods, retail, success, successful"
casino,"casinos, game, gaming, gamble, gambling, chance, slot machine, slot, slots, coin-operated, win, winning, winnings, lose, losing, addiction, addict, one-armed bandit, debt"
cc-copyright,"copyrighted, Creative Commons, patent, patented, trademark, service mark, distribution, law, license, licensed, licensing, author, use, owner, ownership, creator, creators, control, permission, creative, work"
cellphone-touch,"cell, cellular, wireless, mobile, smart, phone, smartphone, screen, touchscreen, contact, swipe, pinch, zoom, scroll, finger, fingertip, target"
certificate,"certification, certificated, certify, certified, official, document, documentation, attest, process, authentication, authorized, authorization, complete, completed, credential, diploma, license, licensed, paper, permit, receipt"
certificate-check,"certification, certificated, certify, certified, official, document, documentation, attest, process, authentication, authorized, authorization, complete, completed, credential, diploma, license, licensed, paper, permit, receipt, checked, checkmark, confirmed"
certificate-click,"certification, certificated, certify, certified, official, document, documentation, attest, process, authentication, authorized, authorization, complete, completed, credential, diploma, license, licensed, paper, permit, receipt, cursor, pointer, arrow"
charge,"charging, charger, charged, electric, electricity, electrical, transformer, energy, lightening, flash, shock, shocked, shocking, caution, warning, danger, positive, negative, battery, batteries, level, low, high, cycle, unit, units"
charge-cycle,"charging, charger, charged, electric, electricity, electrical, transformer, energy, lightening, flash, shock, shocked, shocking, caution, warning, danger, positive, negative, battery, batteries, level, low, high, progress, unit, units"
charge-units,"charging, charger, charged, electric, electricity, electrical, transformer, energy, lightening, flash, shock, shocked, shocking, caution, warning, danger, positive, negative, battery, batteries, level, low, high, cycle, unit"
